"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","regulation","is_noncoding"
"2118",631.158887702312,4.37638951503975,0.245742748209134,17.8088246629167,6.03641110027837e-71,1.33700469460066e-66,"ETV4","Up",FALSE
"9076",583.983451170484,4.92154627689679,0.314486168863231,15.6494840287782,3.34923949375159e-55,3.7091152773552e-51,"CLDN1","Up",FALSE
"7804",222.461400458095,2.83308380607279,0.188694976241799,15.014092386023,5.93689398315565e-51,4.38320882776382e-47,"LRP8","Up",FALSE
"1301",318.715905503053,4.97393738607662,0.338508716279161,14.6936759583311,7.07682375307456e-49,3.91861423267121e-45,"COL11A1","Up",FALSE
"3624",406.917168164357,4.58380881204156,0.323972292060506,14.1487680408961,1.90057661768942e-45,8.41917430104061e-42,"INHBA","Up",FALSE
"115908",205.300278630065,3.7621270046635,0.268590423425358,14.0069290508752,1.41387796578305e-44,5.21933051068814e-41,"CTHRC1","Up",FALSE
"7004",195.73881097022,1.83670218750701,0.132077693419143,13.9062254947042,5.80637521981387e-44,1.83722006776653e-40,"TEAD4","Up",FALSE
"94234",325.232336684581,4.86841208601402,0.353340106701588,13.7782606437191,3.44471949878814e-43,9.53713652233232e-40,"FOXQ1","Up",FALSE
"100507056",121.583971499848,4.19511615733215,0.306541488629567,13.6853127975823,1.24271220974529e-42,3.05831474818317e-39,"CCAT1","Up",FALSE
"266675",1260.01295130836,-5.0812981172383,0.374083397002577,-13.5833297012198,5.02873306366997e-42,1.11381408627226e-38,"BEST4","Down",FALSE
"1001",664.295684647501,4.7325319301657,0.351945724137862,13.4467663778518,3.21632611636596e-41,6.47621883194451e-38,"CDH3","Up",FALSE
"57214",833.057524301331,4.10766986395731,0.306290245251067,13.4110371702835,5.21049921540143e-41,9.61727892682719e-38,"CEMIP","Up",FALSE
"6493",102.269414191667,4.25935512458454,0.321087626020063,13.2653979145194,3.67465137544645e-40,6.26075794728949e-37,"SIM2","Up",FALSE
"57670",254.716498340648,1.98009957397759,0.149734514688947,13.2240691339,6.37212331287409e-40,1.0081154232632e-36,"KIAA1549","Up",FALSE
"4316",425.829831053148,6.16721105091235,0.475922779885206,12.9584279458107,2.10517660046709e-38,3.1085037682497e-35,"MMP7","Up",FALSE
"253152",37.0136532023438,3.82541282294415,0.301367708856468,12.6935060078586,6.42441960239079e-37,8.8934043608346e-34,"EPHX4","Up",FALSE
"100170841",92.851838472789,2.89804198805513,0.230310465735231,12.583197115266,2.61239103615212e-36,3.40363817998431e-33,"EPOP","Up",FALSE
"8140",1123.32017986942,2.53093678391186,0.20396756385356,12.4085258268269,2.34938599725099e-35,2.89091946961734e-32,"SLC7A5","Up",FALSE
